x,phi_group1,phi_group2,phi_group3,phi_group4,phi_group5
  5.00000000E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
  1.50000000E-01,  1.80022289E-01,  1.85090789E-01,  1.84832965E-01,  1.82101637E-01,  1.63989731E-01
  2.50000000E-01,  3.34334790E-01,  3.44355279E-01,  3.43840674E-01,  3.38405136E-01,  3.02626002E-01
  3.50000000E-01,  4.66611377E-01,  4.81385899E-01,  4.80616641E-01,  4.72529272E-01,  4.19833445E-01
  4.50000000E-01,  5.79998251E-01,  5.99274504E-01,  5.98253854E-01,  5.87589360E-01,  5.18927098E-01
  5.50000000E-01,  6.77189772E-01,  7.00681857E-01,  6.99414237E-01,  6.86266186E-01,  6.02707180E-01
  6.50000000E-01,  7.60493324E-01,  7.87897439E-01,  7.86388430E-01,  7.70865634E-01,  6.73539077E-01
  7.50000000E-01,  8.31884804E-01,  8.62890923E-01,  8.61147240E-01,  8.43370233E-01,  7.33420849E-01
  8.50000000E-01,  8.93056073E-01,  9.27356482E-01,  9.25385913E-01,  9.05483694E-01,  7.84040190E-01
  9.50000000E-01,  9.45455554E-01,  9.82750902E-01,  9.80562231E-01,  9.58669345E-01,  8.26822512E-01
  1.05000000E+00,  9.90322940E-01,  1.03032636E+00,  1.02792928E+00,  1.00418330E+00,  8.62971505E-01
  1.15000000E+00,  1.02871887E+00,  1.07115864E+00,  1.06856362E+00,  1.04310303E+00,  8.93503369E-01
  1.25000000E+00,  1.06155030E+00,  1.10617130E+00,  1.10338952E+00,  1.07635198E+00,  9.19275678E-01
  1.35000000E+00,  1.08959215E+00,  1.13615653E+00,  1.13319974E+00,  1.10472076E+00,  9.41011731E-01
  1.45000000E+00,  1.11350584E+00,  1.16179297E+00,  1.15867341E+00,  1.12888529E+00,  9.59321054E-01
  1.55000000E+00,  1.13385500E+00,  1.18366100E+00,  1.18039128E+00,  1.14942244E+00,  9.74716680E-01
  1.65000000E+00,  1.15111897E+00,  1.20225584E+00,  1.19884887E+00,  1.16682338E+00,  9.87629674E-01
  1.75000000E+00,  1.16570414E+00,  1.21799871E+00,  1.21446761E+00,  1.18150497E+00,  9.98421322E-01
  1.85000000E+00,  1.17795365E+00,  1.23124629E+00,  1.22760436E+00,  1.19381948E+00,  1.00739335E+00
  1.95000000E+00,  1.18815554E+00,  1.24229882E+00,  1.23855946E+00,  1.20406281E+00,  1.01479646E+00
  2.05000000E+00,  1.19654958E+00,  1.25140686E+00,  1.24758354E+00,  1.21248141E+00,  1.02083736E+00
  2.15000000E+00,  1.20333299E+00,  1.25877691E+00,  1.25488312E+00,  1.21927804E+00,  1.02568466E+00
  2.25000000E+00,  1.20866506E+00,  1.26457610E+00,  1.26062538E+00,  1.22461659E+00,  1.02947358E+00
  2.35000000E+00,  1.21267098E+00,  1.26893595E+00,  1.26494184E+00,  1.22862586E+00,  1.03230979E+00
  2.45000000E+00,  1.21544480E+00,  1.27195537E+00,  1.26793141E+00,  1.23140263E+00,  1.03427235E+00
  2.55000000E+00,  1.21705160E+00,  1.27370283E+00,  1.26966258E+00,  1.23301395E+00,  1.03541597E+00
  2.65000000E+00,  1.21752913E+00,  1.27421795E+00,  1.27017500E+00,  1.23349869E+00,  1.03577256E+00
  2.75000000E+00,  1.21688862E+00,  1.27351241E+00,  1.26948036E+00,  1.23286851E+00,  1.03535207E+00
  2.85000000E+00,  1.21511508E+00,  1.27157016E+00,  1.26756266E+00,  1.23110804E+00,  1.03414284E+00
  2.95000000E+00,  1.21216694E+00,  1.26834711E+00,  1.26437785E+00,  1.22817461E+00,  1.03211124E+00
  3.05000000E+00,  1.20797509E+00,  1.26377009E+00,  1.25985282E+00,  1.22399719E+00,  1.02920071E+00
  3.15000000E+00,  1.20244122E+00,  1.25773522E+00,  1.25388373E+00,  1.21847470E+00,  1.02533021E+00
  3.25000000E+00,  1.19543549E+00,  1.25010557E+00,  1.24633372E+00,  1.21147365E+00,  1.02039190E+00
  3.35000000E+00,  1.18679348E+00,  1.24070807E+00,  1.23702973E+00,  1.20282495E+00,  1.01424814E+00
  3.45000000E+00,  1.17631229E+00,  1.22932956E+00,  1.22575863E+00,  1.19231997E+00,  1.00672758E+00
  3.55000000E+00,  1.16374570E+00,  1.21571204E+00,  1.21226238E+00,  1.17970559E+00,  9.97620373E-01
  3.65000000E+00,  1.14879839E+00,  1.19954680E+00,  1.19623221E+00,  1.16467826E+00,  9.86672217E-01
  3.75000000E+00,  1.13111887E+00,  1.18046749E+00,  1.17730162E+00,  1.14687689E+00,  9.73577211E-01
  3.85000000E+00,  1.11029118E+00,  1.15804182E+00,  1.15503813E+00,  1.12587442E+00,  9.57969206E-01
  3.95000000E+00,  1.08582500E+00,  1.13176184E+00,  1.12893348E+00,  1.10116781E+00,  9.39411465E-01
  4.05000000E+00,  1.05714395E+00,  1.10103246E+00,  1.09839219E+00,  1.07216636E+00,  9.17384317E-01
  4.15000000E+00,  1.02357191E+00,  1.06515808E+00,  1.06271812E+00,  1.03817801E+00,  8.91270448E-01
  4.25000000E+00,  9.84316903E-01,  1.02332686E+00,  1.02109880E+00,  9.98393298E-01,  8.60337426E-01
  4.35000000E+00,  9.38452192E-01,  9.74592447E-01,  9.72587097E-01,  9.51866714E-01,  8.23716937E-01
  4.45000000E+00,  8.84894166E-01,  9.17852672E-01,  9.16079922E-01,  8.97494949E-01,  7.80380156E-01
  4.55000000E+00,  8.22376445E-01,  8.51824716E-01,  8.50293400E-01,  8.33991633E-01,  7.29108537E-01
  4.65000000E+00,  7.49419584E-01,  7.75016225E-01,  7.73733997E-01,  7.59857974E-01,  6.68459186E-01
  4.75000000E+00,  6.64295644E-01,  6.85691731E-01,  6.84664944E-01,  6.73348698E-01,  5.96723824E-01
  4.85000000E+00,  5.64986768E-01,  5.81833588E-01,  5.81067213E-01,  5.72432543E-01,  5.11880154E-01
  4.95000000E+00,  4.49136752E-01,  4.61096596E-01,  4.60594153E-01,  4.54746482E-01,  4.11534240E-01
  5.05000000E+00,  3.13994430E-01,  3.20755247E-01,  3.20518796E-01,  3.17542720E-01,  2.92852233E-01
  5.15000000E+00,  2.54725679E-01,  2.59009851E-01,  2.58900593E-01,  2.57306539E-01,  2.41427831E-01
  5.25000000E+00,  2.28731085E-01,  2.31844402E-01,  2.31796065E-01,  2.30865674E-01,  2.19144504E-01
  5.35000000E+00,  2.17329566E-01,  2.19892897E-01,  2.19873783E-01,  2.19261258E-01,  2.09488062E-01
  5.45000000E+00,  2.12328479E-01,  2.14634885E-01,  2.14629805E-01,  2.14169090E-01,  2.05303207E-01
  5.55000000E+00,  2.10134726E-01,  2.12321682E-01,  2.12323346E-01,  2.11934919E-01,  2.03489489E-01
  5.65000000E+00,  2.09172378E-01,  2.11304029E-01,  2.11308937E-01,  2.10954829E-01,  2.02703376E-01
  5.75000000E+00,  2.08750199E-01,  2.10856339E-01,  2.10862806E-01,  2.10524941E-01,  2.02362634E-01
  5.85000000E+00,  2.08564981E-01,  2.10659391E-01,  2.10666608E-01,  2.10336410E-01,  2.02214929E-01
  5.95000000E+00,  2.08483719E-01,  2.10572752E-01,  2.10580329E-01,  2.10253739E-01,  2.02150899E-01
  6.05000000E+00,  2.08448064E-01,  2.10534639E-01,  2.10542389E-01,  2.10217492E-01,  2.02123140E-01
  6.15000000E+00,  2.08432420E-01,  2.10517873E-01,  2.10525706E-01,  2.10201601E-01,  2.02111105E-01
  6.25000000E+00,  2.08425555E-01,  2.10510498E-01,  2.10518371E-01,  2.10194636E-01,  2.02105887E-01
  6.35000000E+00,  2.08422543E-01,  2.10507254E-01,  2.10515145E-01,  2.10191583E-01,  2.02103624E-01
  6.45000000E+00,  2.08421221E-01,  2.10505827E-01,  2.10513728E-01,  2.10190245E-01,  2.02102643E-01
  6.55000000E+00,  2.08420641E-01,  2.10505199E-01,  2.10513104E-01,  2.10189659E-01,  2.02102218E-01
  6.65000000E+00,  2.08420387E-01,  2.10504923E-01,  2.10512830E-01,  2.10189402E-01,  2.02102033E-01
  6.75000000E+00,  2.08420275E-01,  2.10504802E-01,  2.10512710E-01,  2.10189290E-01,  2.02101953E-01
  6.85000000E+00,  2.08420226E-01,  2.10504748E-01,  2.10512657E-01,  2.10189240E-01,  2.02101919E-01
  6.95000000E+00,  2.08420204E-01,  2.10504725E-01,  2.10512633E-01,  2.10189219E-01,  2.02101904E-01
  7.05000000E+00,  2.08420195E-01,  2.10504715E-01,  2.10512623E-01,  2.10189209E-01,  2.02101897E-01
  7.15000000E+00,  2.08420191E-01,  2.10504710E-01,  2.10512619E-01,  2.10189205E-01,  2.02101894E-01
  7.25000000E+00,  2.08420189E-01,  2.10504708E-01,  2.10512617E-01,  2.10189203E-01,  2.02101893E-01
  7.35000000E+00,  2.08420188E-01,  2.10504707E-01,  2.10512616E-01,  2.10189202E-01,  2.02101892E-01
  7.45000000E+00,  2.08420187E-01,  2.10504707E-01,  2.10512615E-01,  2.10189202E-01,  2.02101892E-01
  7.55000000E+00,  2.08420187E-01,  2.10504706E-01,  2.10512615E-01,  2.10189201E-01,  2.02101892E-01
  7.65000000E+00,  2.08420186E-01,  2.10504705E-01,  2.10512614E-01,  2.10189201E-01,  2.02101891E-01
  7.75000000E+00,  2.08420185E-01,  2.10504703E-01,  2.10512612E-01,  2.10189199E-01,  2.02101890E-01
  7.85000000E+00,  2.08420181E-01,  2.10504700E-01,  2.10512608E-01,  2.10189195E-01,  2.02101887E-01
  7.95000000E+00,  2.08420173E-01,  2.10504691E-01,  2.10512600E-01,  2.10189187E-01,  2.02101881E-01
  8.05000000E+00,  2.08420154E-01,  2.10504671E-01,  2.10512580E-01,  2.10189168E-01,  2.02101867E-01
  8.15000000E+00,  2.08420112E-01,  2.10504626E-01,  2.10512535E-01,  2.10189125E-01,  2.02101833E-01
  8.25000000E+00,  2.08420016E-01,  2.10504524E-01,  2.10512433E-01,  2.10189026E-01,  2.02101757E-01
  8.35000000E+00,  2.08419797E-01,  2.10504291E-01,  2.10512201E-01,  2.10188801E-01,  2.02101580E-01
  8.45000000E+00,  2.08419298E-01,  2.10503763E-01,  2.10511673E-01,  2.10188288E-01,  2.02101172E-01
  8.55000000E+00,  2.08418160E-01,  2.10502561E-01,  2.10510472E-01,  2.10187119E-01,  2.02100232E-01
  8.65000000E+00,  2.08415566E-01,  2.10499831E-01,  2.10507743E-01,  2.10184454E-01,  2.02098062E-01
  8.75000000E+00,  2.08409652E-01,  2.10493624E-01,  2.10501540E-01,  2.10178379E-01,  2.02093054E-01
  8.85000000E+00,  2.08396169E-01,  2.10479517E-01,  2.10487437E-01,  2.10164535E-01,  2.02081500E-01
  8.95000000E+00,  2.08365427E-01,  2.10447454E-01,  2.10455381E-01,  2.10132990E-01,  2.02054836E-01
  9.05000000E+00,  2.08295333E-01,  2.10374579E-01,  2.10382514E-01,  2.10061129E-01,  2.01993301E-01
  9.15000000E+00,  2.08135502E-01,  2.10208949E-01,  2.10216889E-01,  2.09897446E-01,  2.01851283E-01
  9.25000000E+00,  2.07771030E-01,  2.09832507E-01,  2.09840441E-01,  2.09524683E-01,  2.01523497E-01
  9.35000000E+00,  2.06939855E-01,  2.08976949E-01,  2.08984839E-01,  2.08675923E-01,  2.00766899E-01
  9.45000000E+00,  2.05044265E-01,  2.07032508E-01,  2.07040261E-01,  2.06743713E-01,  1.99020405E-01
  9.55000000E+00,  2.00720898E-01,  2.02613409E-01,  2.02620823E-01,  2.02345874E-01,  1.94988637E-01
  9.65000000E+00,  1.90859802E-01,  1.92570335E-01,  1.92577026E-01,  1.92338124E-01,  1.85680754E-01
  9.75000000E+00,  1.68366448E-01,  1.69746254E-01,  1.69751577E-01,  1.69569217E-01,  1.64190899E-01
  9.85000000E+00,  1.17055544E-01,  1.17876567E-01,  1.17879637E-01,  1.17778359E-01,  1.14572450E-01
  9.95000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00
